id,trial,view.angle,view.dist,fishtank,start.angle,hinge.length,hinge.z.pos,hinge.angle,response
DREWFULL,4,0.000000,1.000000,1,89,10.000000,-5.000000,103.000000,acute,
DREWFULL,4,0.000000,1.000000,1,89,10.000000,-5.000000,105.000000,acute,
DREWFULL,4,0.000000,1.000000,1,89,10.000000,-5.000000,107.000000,obtuse,
DREWFULL,4,0.000000,1.000000,1,89,10.000000,-5.000000,105.000000,obtuse,
DREWFULL,4,0.000000,1.000000,1,89,10.000000,-5.000000,103.000000,acute,
DREWFULL,4,0.000000,1.000000,1,89,10.000000,-5.000000,105.000000,acute,
DREWFULL,4,0.000000,1.000000,1,89,10.000000,-5.000000,107.000000,obtuse,
DREWFULL,4,0.000000,1.000000,1,89,10.000000,-5.000000,105.000000,obtuse,
DREWFULL,4,0.000000,1.000000,1,89,10.000000,-5.000000,103.000000,obtuse,
DREWFULL,4,0.000000,1.000000,1,89,10.000000,-5.000000,101.000000,acute,
DREWFULL,4,0.000000,1.000000,1,89,10.000000,-5.000000,103.000000,acute,
DREWFULL,4,0.000000,1.000000,1,89,10.000000,-5.000000,105.000000,acute,
DREWFULL,4,0.000000,1.000000,1,89,10.000000,-5.000000,107.000000,acute,
DREWFULL,4,0.000000,1.000000,1,89,10.000000,-5.000000,109.000000,obtuse,
DREWFULL,4,0.000000,1.000000,1,89,10.000000,-5.000000,107.000000,obtuse,
DREWFULL,4,0.000000,1.000000,1,89,10.000000,-5.000000,105.000000,acute,
DREWFULL,4,0.000000,1.000000,1,89,10.000000,-5.000000,107.000000,acute,
DREWFULL,4,0.000000,1.000000,1,89,10.000000,-5.000000,109.000000,obtuse,
DREWFULL,4,0.000000,1.000000,1,89,10.000000,-5.000000,107.000000,obtuse,
DREWFULL,4,0.000000,1.000000,1,89,10.000000,-5.000000,105.000000,acute,
DREWFULL,4,0.000000,1.000000,1,89,10.000000,-5.000000,107.000000,acute,
DREWFULL,4,0.000000,1.000000,1,89,10.000000,-5.000000,109.000000,obtuse,
DREWFULL,5,-0.000000,1.000000,0,91,10.000000,-5.000000,93.000000,acute,
DREWFULL,5,-0.000000,1.000000,0,91,10.000000,-5.000000,95.000000,acute,
DREWFULL,5,-0.000000,1.000000,0,91,10.000000,-5.000000,97.000000,acute,
DREWFULL,5,-0.000000,1.000000,0,91,10.000000,-5.000000,99.000000,acute,
DREWFULL,5,-0.000000,1.000000,0,91,10.000000,-5.000000,101.000000,acute,
DREWFULL,5,-0.000000,1.000000,0,91,10.000000,-5.000000,103.000000,acute,
DREWFULL,5,-0.000000,1.000000,0,91,10.000000,-5.000000,105.000000,acute,
DREWFULL,5,-0.000000,1.000000,0,91,10.000000,-5.000000,107.000000,acute,
DREWFULL,5,-0.000000,1.000000,0,91,10.000000,-5.000000,109.000000,obtuse,
DREWFULL,5,-0.000000,1.000000,0,91,10.000000,-5.000000,107.000000,obtuse,
DREWFULL,5,-0.000000,1.000000,0,91,10.000000,-5.000000,105.000000,obtuse,
DREWFULL,5,-0.000000,1.000000,0,91,10.000000,-5.000000,103.000000,acute,
DREWFULL,5,-0.000000,1.000000,0,91,10.000000,-5.000000,105.000000,acute,
DREWFULL,5,-0.000000,1.000000,0,91,10.000000,-5.000000,107.000000,obtuse,
DREWFULL,5,-0.000000,1.000000,0,91,10.000000,-5.000000,105.000000,acute,
DREWFULL,5,-0.000000,1.000000,0,91,10.000000,-5.000000,107.000000,acute,
DREWFULL,5,-0.000000,1.000000,0,91,10.000000,-5.000000,109.000000,acute,
DREWFULL,5,-0.000000,1.000000,0,91,10.000000,-5.000000,111.000000,obtuse,
DREWFULL,5,-0.000000,1.000000,0,91,10.000000,-5.000000,109.000000,obtuse,
DREWFULL,5,-0.000000,1.000000,0,91,10.000000,-5.000000,107.000000,acute,
DREWFULL,5,-0.000000,1.000000,0,91,10.000000,-5.000000,109.000000,acute,
DREWFULL,5,-0.000000,1.000000,0,91,10.000000,-5.000000,111.000000,acute,
DREWFULL,5,-0.000000,1.000000,0,91,10.000000,-5.000000,113.000000,obtuse,
DREWFULL,5,-0.000000,1.000000,0,91,10.000000,-5.000000,111.000000,obtuse,
DREWFULL,5,-0.000000,1.000000,0,91,10.000000,-5.000000,109.000000,obtuse,
DREWFULL,5,-0.000000,1.000000,0,91,10.000000,-5.000000,107.000000,acute,
DREWFULL,5,-0.000000,1.000000,0,91,10.000000,-5.000000,109.000000,acute,
DREWFULL,5,-0.000000,1.000000,0,91,10.000000,-5.000000,111.000000,acute,
DREWFULL,5,-0.000000,1.000000,0,91,10.000000,-5.000000,113.000000,obtuse,
DREWFULL,5,-0.000000,1.000000,0,91,10.000000,-5.000000,111.000000,obtuse,
DREWFULL,5,-0.000000,1.000000,0,91,10.000000,-5.000000,109.000000,acute,
DREWFULL,6,-30.000000,1.000000,1,89,10.000000,-5.000000,87.000000,acute,
DREWFULL,6,-30.000000,1.000000,1,89,10.000000,-5.000000,89.000000,acute,
DREWFULL,6,-30.000000,1.000000,1,89,10.000000,-5.000000,91.000000,acute,
DREWFULL,6,-30.000000,1.000000,1,89,10.000000,-5.000000,93.000000,acute,
DREWFULL,6,-30.000000,1.000000,1,89,10.000000,-5.000000,95.000000,acute,
DREWFULL,6,-30.000000,1.000000,1,89,10.000000,-5.000000,97.000000,acute,
DREWFULL,6,-30.000000,1.000000,1,89,10.000000,-5.000000,99.000000,acute,
DREWFULL,6,-30.000000,1.000000,1,89,10.000000,-5.000000,101.000000,acute,
DREWFULL,6,-30.000000,1.000000,1,89,10.000000,-5.000000,103.000000,obtuse,
DREWFULL,6,-30.000000,1.000000,1,89,10.000000,-5.000000,101.000000,obtuse,
DREWFULL,6,-30.000000,1.000000,1,89,10.000000,-5.000000,99.000000,obtuse,
DREWFULL,6,-30.000000,1.000000,1,89,10.000000,-5.000000,97.000000,obtuse,
DREWFULL,6,-30.000000,1.000000,1,89,10.000000,-5.000000,95.000000,obtuse,
DREWFULL,6,-30.000000,1.000000,1,89,10.000000,-5.000000,93.000000,obtuse,
DREWFULL,6,-30.000000,1.000000,1,89,10.000000,-5.000000,91.000000,acute,
DREWFULL,6,-30.000000,1.000000,1,89,10.000000,-5.000000,93.000000,acute,
DREWFULL,6,-30.000000,1.000000,1,89,10.000000,-5.000000,95.000000,obtuse,
DREWFULL,6,-30.000000,1.000000,1,89,10.000000,-5.000000,93.000000,obtuse,
DREWFULL,6,-30.000000,1.000000,1,89,10.000000,-5.000000,91.000000,acute,
DREWFULL,6,-30.000000,1.000000,1,89,10.000000,-5.000000,93.000000,acute,
DREWFULL,6,-30.000000,1.000000,1,89,10.000000,-5.000000,95.000000,acute,
DREWFULL,6,-30.000000,1.000000,1,89,10.000000,-5.000000,97.000000,obtuse,
DREWFULL,6,-30.000000,1.000000,1,89,10.000000,-5.000000,95.000000,obtuse,
DREWFULL,6,-30.000000,1.000000,1,89,10.000000,-5.000000,93.000000,obtuse,
DREWFULL,6,-30.000000,1.000000,1,89,10.000000,-5.000000,91.000000,obtuse,
DREWFULL,6,-30.000000,1.000000,1,89,10.000000,-5.000000,89.000000,acute,
DREWFULL,6,-30.000000,1.000000,1,89,10.000000,-5.000000,91.000000,acute,
DREWFULL,6,-30.000000,1.000000,1,89,10.000000,-5.000000,93.000000,acute,
DREWFULL,6,-30.000000,1.000000,1,89,10.000000,-5.000000,95.000000,acute,
DREWFULL,6,-30.000000,1.000000,1,89,10.000000,-5.000000,97.000000,acute,
DREWFULL,6,-30.000000,1.000000,1,89,10.000000,-5.000000,99.000000,obtuse,
DREWFULL,6,-30.000000,1.000000,1,89,10.000000,-5.000000,97.000000,obtuse,
DREWFULL,6,-30.000000,1.000000,1,89,10.000000,-5.000000,95.000000,obtuse,
DREWFULL,6,-30.000000,1.000000,1,89,10.000000,-5.000000,93.000000,acute,
DREWFULL,6,-30.000000,1.000000,1,89,10.000000,-5.000000,95.000000,acute,
DREWFULL,6,-30.000000,1.000000,1,89,10.000000,-5.000000,97.000000,acute,
DREWFULL,6,-30.000000,1.000000,1,89,10.000000,-5.000000,99.000000,obtuse,
DREWFULL,7,0.000000,2.000000,1,89,10.000000,-5.000000,91.000000,acute,
DREWFULL,7,0.000000,2.000000,1,89,10.000000,-5.000000,93.000000,acute,
DREWFULL,7,0.000000,2.000000,1,89,10.000000,-5.000000,95.000000,acute,
DREWFULL,7,0.000000,2.000000,1,89,10.000000,-5.000000,97.000000,acute,
DREWFULL,7,0.000000,2.000000,1,89,10.000000,-5.000000,99.000000,acute,
DREWFULL,7,0.000000,2.000000,1,89,10.000000,-5.000000,101.000000,acute,
DREWFULL,7,0.000000,2.000000,1,89,10.000000,-5.000000,103.000000,acute,
DREWFULL,7,0.000000,2.000000,1,89,10.000000,-5.000000,105.000000,acute,
DREWFULL,7,0.000000,2.000000,1,89,10.000000,-5.000000,107.000000,acute,
DREWFULL,7,0.000000,2.000000,1,89,10.000000,-5.000000,109.000000,acute,
DREWFULL,7,0.000000,2.000000,1,89,10.000000,-5.000000,111.000000,obtuse,
DREWFULL,7,0.000000,2.000000,1,89,10.000000,-5.000000,109.000000,obtuse,
DREWFULL,7,0.000000,2.000000,1,89,10.000000,-5.000000,107.000000,acute,
DREWFULL,7,0.000000,2.000000,1,89,10.000000,-5.000000,109.000000,acute,
DREWFULL,7,0.000000,2.000000,1,89,10.000000,-5.000000,111.000000,acute,
DREWFULL,7,0.000000,2.000000,1,89,10.000000,-5.000000,113.000000,acute,
DREWFULL,7,0.000000,2.000000,1,89,10.000000,-5.000000,115.000000,obtuse,
DREWFULL,7,0.000000,2.000000,1,89,10.000000,-5.000000,113.000000,obtuse,
DREWFULL,7,0.000000,2.000000,1,89,10.000000,-5.000000,111.000000,obtuse,
DREWFULL,7,0.000000,2.000000,1,89,10.000000,-5.000000,109.000000,acute,
DREWFULL,7,0.000000,2.000000,1,89,10.000000,-5.000000,111.000000,acute,
DREWFULL,7,0.000000,2.000000,1,89,10.000000,-5.000000,113.000000,acute,
DREWFULL,7,0.000000,2.000000,1,89,10.000000,-5.000000,115.000000,obtuse,
DREWFULL,7,0.000000,2.000000,1,89,10.000000,-5.000000,113.000000,obtuse,
DREWFULL,7,0.000000,2.000000,1,89,10.000000,-5.000000,111.000000,obtuse,
DREWFULL,7,0.000000,2.000000,1,89,10.000000,-5.000000,109.000000,acute,
DREWFULL,7,0.000000,2.000000,1,89,10.000000,-5.000000,111.000000,acute,
DREWFULL,7,0.000000,2.000000,1,89,10.000000,-5.000000,113.000000,obtuse,
DREWFULL,7,0.000000,2.000000,1,89,10.000000,-5.000000,111.000000,obtuse,
DREWFULL,7,0.000000,2.000000,1,89,10.000000,-5.000000,109.000000,obtuse,
DREWFULL,7,0.000000,2.000000,1,89,10.000000,-5.000000,107.000000,acute,
DREWFULL,7,0.000000,2.000000,1,89,10.000000,-5.000000,109.000000,acute,
DREWFULL,7,0.000000,2.000000,1,89,10.000000,-5.000000,111.000000,acute,
DREWFULL,7,0.000000,2.000000,1,89,10.000000,-5.000000,113.000000,acute,
DREWFULL,7,0.000000,2.000000,1,89,10.000000,-5.000000,115.000000,obtuse,
DREWFULL,7,0.000000,2.000000,1,89,10.000000,-5.000000,113.000000,obtuse,
